date,mu_mean,mu_var,vol-of-vol_mean,vol-of-vol_var,kappa_mean,kappa_var,theta_mean,theta_var,rho_mean,rho_var,lambda_mean,lambda_var,v_t_mean,v_t_var
March 10th, 2026,0.38649,0.174469,0.535956,0.00570323,5.53248,7.20366,0.0342688,1.85125e-05,-0.764275,0.0218633,0.377176,0.128932,0.0400887,1.48386e-05,
March 11th, 2026,0.35601,0.181048,0.552304,0.00697449,5.61004,7.56006,0.0348901,2.12732e-05,-0.763372,0.0227999,0.389902,0.130438,0.040237,1.78609e-05,
March 12th, 2026,0.363181,0.196127,0.558396,0.00688183,5.62446,7.60614,0.0349575,1.92736e-05,-0.770483,0.0212611,0.383048,0.12213,0.0387956,4.87084e-05,
March 13th, 2026,0.426062,0.190328,0.553989,0.00556529,5.32093,7.01265,0.0355769,2.4685e-05,-0.764358,0.0200036,0.377851,0.119151,0.0336481,5.12834e-05,
March 16th, 2026,0.399179,0.210445,0.566922,0.00515377,5.43327,7.31922,0.0357398,2.25864e-05,-0.768384,0.0195624,0.380353,0.108109,0.0350385,4.13498e-05,
March 17th, 2026,0.327998,0.23088,0.569511,0.00483999,5.68291,7.91122,0.0352195,2.05439e-05,-0.772748,0.0206672,0.395333,0.102557,0.0350282,4.63201e-05,
March 18th, 2026,0.275757,0.236108,0.58191,0.00491804,5.80275,8.35698,0.0358251,1.86497e-05,-0.77166,0.021741,0.424465,0.0976182,0.0330512,6.20517e-05,
March 19th, 2026,0.216454,0.241202,0.583365,0.00431549,6.00811,8.58949,0.0357586,1.62367e-05,-0.77829,0.0215644,0.434267,0.0904778,0.0326385,5.97999e-05,
March 20th, 2026,0.131217,0.236133,0.600355,0.00559481,6.40568,8.89466,0.0358888,1.46849e-05,-0.78715,0.0207414,0.440573,0.0824724,0.0325914,8.46392e-05,
March 23rd, 2026,0.341868,0.203445,0.596566,0.0233583,3.286,2.11041,0.0528051,0.000257903,-0.690923,0.0217539,0.870646,0.0559204,0.0322397,1.22742e-06,
March 24th, 2026,0.346525,0.202838,0.60016,0.0235557,3.28038,2.07585,0.0524351,0.00026017,-0.689436,0.0225712,0.870365,0.0553328,0.0295957,2.31174e-05,
March 25th, 2026,0.408904,0.181546,0.60192,0.0204165,3.39657,2.03891,0.0511769,0.000210888,-0.701955,0.0233666,0.859262,0.0585474,0.0326559,2.84326e-05,
March 26th, 2026,0.384382,0.199236,0.595827,0.018586,3.33936,2.13301,0.0517146,0.000242263,-0.697661,0.0234322,0.857162,0.0565776,0.0348923,3.24597e-05,
March 27th, 2026,0.33705,0.218522,0.603335,0.0198025,3.17854,2.15528,0.0534306,0.000260012,-0.685448,0.0218442,0.871155,0.0508697,0.0355533,4.57726e-05,
March 30th, 2026,0.137502,0.213598,0.617161,0.0245801,2.39041,0.997374,0.0586608,0.000311142,-0.612834,0.00550086,0.982681,0.0131078,0.0372786,9.49757e-05,
March 31st, 2026,0.180635,0.20756,0.613939,0.0232512,2.43839,0.823711,0.0575692,0.000281842,-0.613209,0.00531485,0.976481,0.0123797,0.0297464,8.9126e-05,
April 1st, 2026,0.139402,0.217735,0.604436,0.0233969,2.36702,0.838093,0.0588987,0.000311809,-0.611206,0.00612889,0.965969,0.0110234,0.0291296,3.80481e-05,
April 2nd, 2026,0.690166,0.153702,0.680213,0.0675448,3.79433,1.31561,0.0880394,0.000382722,-0.601059,0.0232444,0.381758,0.65673,0.0203249,1.51913e-05,
April 7th, 2026,0.641699,0.153638,0.650611,0.0608623,3.7422,1.39625,0.0897235,0.000412524,-0.619764,0.0207159,0.437175,0.699985,0.0260214,6.89826e-05,
April 8th, 2026,0.808719,0.058644,0.685323,0.0801657,3.95268,1.60805,0.0947897,0.00406688,-0.616289,0.031523,0.183003,0.498846,0.0221733,2.60139e-05,
April 9th, 2026,0.355324,0.20858,0.392703,0.0646744,1.21639,1.00901,0.282501,0.0126036,-0.8571,0.0539361,0.885628,1.22344,0.0259806,3.6003e-06,
April 10th, 2026,0.327285,0.212236,0.262459,0.00277072,0.761718,0.0196332,0.314798,0.00453354,-0.945179,0.00408495,1.33055,0.0748646,0.0268579,4.19349e-06,
April 13th, 2026,0.44031,0.0291512,0.500439,0.0130961,4.34588,0.307628,0.0805706,0.000329646,-0.787673,0.0180428,-0.110211,0.648724,0.0321359,5.75894e-05,
April 14th, 2026,0.423856,0.00263785,0.477432,0.00156649,4.47156,0.215458,0.0752156,0.000215941,-0.770612,0.00931435,-0.33842,0.480643,0.0429956,4.35189e-05,
April 15th, 2026,0.422655,0.00314829,0.474055,0.00132647,4.43924,0.236982,0.0763897,0.000238428,-0.776252,0.00989471,-0.302024,0.5185,0.0399412,4.60697e-05,
April 16th, 2026,0.414761,0.0025997,0.47102,0.00223679,4.39893,0.282318,0.0773294,0.000264869,-0.783975,0.010823,-0.253243,0.565082,0.0396854,2.78773e-05,
April 17th, 2026,0.412061,0.00644907,0.531643,0.0150189,4.19945,0.582109,0.0741966,0.000513892,-0.802629,0.0122898,0.182456,0.75678,0.0387451,4.65971e-05,
April 20th, 2026,0.454187,0.00717616,0.609969,0.0203871,4.13754,0.910086,0.0629338,0.000522876,-0.785458,0.00858197,0.479978,0.671286,0.031595,6.40591e-05,
April 21st, 2026,0.482129,0.00832509,0.670612,0.0119097,3.98189,1.10645,0.0521477,0.000312039,-0.794659,0.00816458,0.864069,0.312367,0.0318208,5.02345e-05,
April 22nd, 2026,0.499204,0.00706739,0.676459,0.00672399,3.92044,1.18505,0.0479468,0.000133081,-0.784691,0.00732888,0.958097,0.211237,0.0319224,2.25754e-05,
April 23rd, 2026,0.499868,0.00797001,0.67342,0.0065489,3.78204,1.15636,0.0479849,7.24025e-05,-0.78254,0.00790154,1.0243,0.174263,0.0330853,3.259e-05,
April 24th, 2026,0.439563,0.0178775,0.619071,0.0132699,3.74691,1.0566,0.0479522,5.35094e-05,-0.844149,0.0140176,0.991733,0.130397,0.0355961,2.82896e-05,
April 27th, 2026,0.431916,0.0213018,0.600015,0.0153888,3.68645,1.01093,0.0478108,6.11579e-05,-0.847975,0.0147587,0.996033,0.123456,0.0378207,3.83978e-05,
